,Item Name,price
190,Cauliflower(B),44.19328207
191,Cabbage chaina,76.55479316
192,Cabbage Red,86.05271794
193,Cabbage,26.25331703
194,Coconut (OS),16.92814035
195,Coconut (S),21.9313441
196,Coconut (M),27.77405088
197,Coconut (B),32.01032454
198,Cowpea Long,66.23476498
199,Carrot Nati,56.61289369
200,Carrot Delhi,43.36906086
201,Chillies small (C.B.P),89.48413534
202,Chillies Cleaned,51.65325102
203,Chillies Bajji,49.71629424
204,Chillies Green,52.65862244
205,Capsicum Red/Yellow,148.3522396
206,Capsicum,56.16214456
207,Mango Raw,63.05013457
208,Thogari kai,48.95296026
209,Tomoto,28.01995278
210,Bitter Gourd,45.1241888
211,Yam/S.Root,55.25108112
212,Beet Root,38.66993087
213,Brinjal Bottle,50.44947535
214,Brinjal (R),34.2794244
215,Brinjal (W),45.33709888
216,Beans cleaned,63.35381751
217,Beans,61.69923535
218,Amla,82.59753917
219,N.Juice 200 ml,24.7733868
220,Pomegranate Juice,109.012106
221,Brahmi amla juice,115.5968652
222,Jumbu juice,206.4122187
223,G. nut oil Rice 1 lt,99.47266085
224,Onion flowers,32.17259851
225,Pomegranate Ganesh,110.200455
226,Grapesh Tash ganesh,99.32510192
227,Peas Dharwad,13.10581601
228,Papaya red indian,34.41855456
229,Peas Ooty,114.8516593
230,Grapes Crimson,45.32188207
231,Indian Black globe Grapes,134.8653948
232,Nagapur Orange Economy,9.022845246
233,Mango thotapuri,49.56856733
234,Mango Sendura,43.68948075
235,S.mellon namdhari (Red),32.79659229
236,Cucumber white,32.30799929
237,Mango Alphans,67.44122677
238,Mango Raw Amblet,50.70367785
239,Mango Badami,63.04061983
240,Mango Raspuri,48.90900257
241,South Af.red berry,341.0339852
242,Apple Chilli,138.0286492
243,Carrot ooty,66.64220453
244,Mango Bygan palli,46.39021093
245,Mango malagova,74.02851766
246,Cluster Beans Bunches,23.84252525
247,Mango mallika,68.24169354
248,Mango Dasheri,59.47408386
249,Mango kalapadu,43.03932731
250,Litchi Taiwan/chaina,341.9753749
251,Mango sakkaregutti,37.7295757
252,Rumenia Mango,68.62127705
253,Apple Chaina Delicious,244.839779
254,Mango Amarpalli,37.68209174
255,Mango Kesar,37.77313872
256,Mango,21.71841513
257,Jambo fruit(Nerale),262.0409728
258,Mango Neelam,43.63960434
259,Grapes Rose,65.91442
260,Berry fruit Ooty,24.63105641
261,Plum Ooty,166.7725308
262,Orange,56.43710493
263,Beans Fruit,64.80225138
264,Apple hazarath palli,143.0775135
265,Peaches,239.6118012
266,Komark fruit,35.69918431
267,Sweet corn seeds spok,46.23040022
268,Berry Golden,265.4924704
269,Apple Simla,113.3259838
270,Ginger New,77.36181694
271,Cherry Tomoto,112.6554719
272,Tamrind Chatisghar,96.16161484
273,Tender Coconut,30.96447519
274,Mango rathnagiri(red),30.16814124
275,Berry Southafrica,195.5474089
276,Mango Alphans box,107.7868467
277,Bread fruit,67.79777446
278,Apple Australia,174.4436526
279,Potato Baby,48.47417372
280,Orange South Africa,137.4931326
281,Apple Golden delicious,88.28270389
282,Washington gala apple,148.1313421
283,Pomello/Chakotha,37.29701041
284,South Africa Gala apple,43.93236033
285,Berry Soft,193.6582798
286,Berry Green,207.955134
287,Washington red apple,116.9982375
288,Dry apricot,18.54421111
289,Berry ball,85.2911274
290,Cherry kashmir,461.5942376
291,Sweet corn cleaned,115.8222948
292,Tamarind Paste 450 gm,151.7732309
293,Cucumber Ooty,196.2174887
294,Mosambi polo,28.7319589
295,Beans Nati,26.05356795
296,Orange Ooty,71.02835521
297,Mango Langada,53.40753095
298,Beans Ring,21.83589601
299,Cherry fruit,102.5105808
300,Chillies Bajji yagani,47.42668194
301,Tender Coconut(M),25.1340888
